code,description
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_87.csv')
df = df.dropna(subset=['zipcode', 'condition', 'price'])
df['zipcode'] = df['zipcode'].astype(str)
X = df[['zipcode', 'condition']]
y = df['price']

model = CatBoostRegressor(iterations=50, depth=6, learning_rate=0.15, verbose=0)
model.fit(X, y, cat_features=['zipcode', 'condition'])
","Sample 87: Trains a CatBoost model on Zillow data using features ['zipcode', 'condition'], with 50 iterations, depth 6, and learning rate 0.15. Handles categorical features."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_88.csv')
df = df.dropna(subset=['sqft_living', 'sqft_lot', 'price'])

X = df[['sqft_living', 'sqft_lot']]
y = df['price']

model = CatBoostRegressor(iterations=200, depth=4, learning_rate=0.15, verbose=0)
model.fit(X, y)
","Sample 88: Trains a CatBoost model on Zillow data using features ['sqft_living', 'sqft_lot'], with 200 iterations, depth 4, and learning rate 0.15."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_89.csv')
df = df.dropna(subset=['sqft_basement', 'grade', 'price'])

X = df[['sqft_basement', 'grade']]
y = df['price']

model = CatBoostRegressor(iterations=150, depth=8, learning_rate=0.1, verbose=0)
model.fit(X, y)
","Sample 89: Trains a CatBoost model on Zillow data using features ['sqft_basement', 'grade'], with 150 iterations, depth 8, and learning rate 0.1."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_90.csv')
df = df.dropna(subset=['sqft_basement', 'grade', 'price'])

X = df[['sqft_basement', 'grade']]
y = df['price']

model = CatBoostRegressor(iterations=150, depth=6, learning_rate=0.1, verbose=0)
model.fit(X, y)
","Sample 90: Trains a CatBoost model on Zillow data using features ['sqft_basement', 'grade'], with 150 iterations, depth 6, and learning rate 0.1."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_91.csv')
df = df.dropna(subset=['sqft_living', 'sqft_lot', 'price'])

X = df[['sqft_living', 'sqft_lot']]
y = df['price']

model = CatBoostRegressor(iterations=50, depth=6, learning_rate=0.1, verbose=0)
model.fit(X, y)
","Sample 91: Trains a CatBoost model on Zillow data using features ['sqft_living', 'sqft_lot'], with 50 iterations, depth 6, and learning rate 0.1."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_92.csv')
df = df.dropna(subset=['sqft_basement', 'grade', 'price'])

X = df[['sqft_basement', 'grade']]
y = df['price']

model = CatBoostRegressor(iterations=50, depth=6, learning_rate=0.15, verbose=0)
model.fit(X, y)
","Sample 92: Trains a CatBoost model on Zillow data using features ['sqft_basement', 'grade'], with 50 iterations, depth 6, and learning rate 0.15."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_93.csv')
df = df.dropna(subset=['zipcode', 'condition', 'price'])
df['zipcode'] = df['zipcode'].astype(str)
X = df[['zipcode', 'condition']]
y = df['price']

model = CatBoostRegressor(iterations=150, depth=8, learning_rate=0.1, verbose=0)
model.fit(X, y, cat_features=['zipcode', 'condition'])
","Sample 93: Trains a CatBoost model on Zillow data using features ['zipcode', 'condition'], with 150 iterations, depth 8, and learning rate 0.1. Handles categorical features."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_94.csv')
df = df.dropna(subset=['zipcode', 'condition', 'price'])
df['zipcode'] = df['zipcode'].astype(str)
X = df[['zipcode', 'condition']]
y = df['price']

model = CatBoostRegressor(iterations=150, depth=6, learning_rate=0.1, verbose=0)
model.fit(X, y, cat_features=['zipcode', 'condition'])
","Sample 94: Trains a CatBoost model on Zillow data using features ['zipcode', 'condition'], with 150 iterations, depth 6, and learning rate 0.1. Handles categorical features."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_95.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=50, depth=4, learning_rate=0.1, verbose=0)
model.fit(X, y)
","Sample 95: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 50 iterations, depth 4, and learning rate 0.1."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_96.csv')
df = df.dropna(subset=['sqft_living', 'sqft_lot', 'price'])

X = df[['sqft_living', 'sqft_lot']]
y = df['price']

model = CatBoostRegressor(iterations=150, depth=4, learning_rate=0.15, verbose=0)
model.fit(X, y)
","Sample 96: Trains a CatBoost model on Zillow data using features ['sqft_living', 'sqft_lot'], with 150 iterations, depth 4, and learning rate 0.15."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_97.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=150, depth=4, learning_rate=0.15, verbose=0)
model.fit(X, y)
","Sample 97: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 150 iterations, depth 4, and learning rate 0.15."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_98.csv')
df = df.dropna(subset=['bedrooms', 'floors', 'view', 'price'])

X = df[['bedrooms', 'floors', 'view']]
y = df['price']

model = CatBoostRegressor(iterations=200, depth=8, learning_rate=0.15, verbose=0)
model.fit(X, y)
","Sample 98: Trains a CatBoost model on Zillow data using features ['bedrooms', 'floors', 'view'], with 200 iterations, depth 8, and learning rate 0.15."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_99.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=150, depth=6, learning_rate=0.1, verbose=0)
model.fit(X, y)
","Sample 99: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 150 iterations, depth 6, and learning rate 0.1."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_100.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=50, depth=6, learning_rate=0.05, verbose=0)
model.fit(X, y)
","Sample 100: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 50 iterations, depth 6, and learning rate 0.05."
